Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,19000.0,20700.0,18600.0,20700.0,13012.435546875,2028300
2000-01-05,21000.0,22500.0,19500.0,20800.0,13075.298828125,4091600
2000-01-06,21300.0,21700.0,19100.0,19700.0,12383.8154296875,1899300
2000-01-07,20900.0,21100.0,20000.0,20300.0,12760.990234375,2206900
2000-01-10,21500.0,21600.0,19750.0,20000.0,12572.40234375,1931800
2000-01-11,19800.0,20500.0,19800.0,20000.0,12572.40234375,1779000
2000-01-12,20100.0,20150.0,19400.0,19450.0,12226.6650390625,1020400
2000-01-13,19500.0,19800.0,19000.0,19500.0,12258.0947265625,1245300
2000-01-14,19500.0,19600.0,18500.0,18500.0,11629.4736328125,1720400
2000-01-17,19050.0,19050.0,18300.0,18500.0,11629.4736328125,2114500
2000-01-18,18500.0,18500.0,17600.0,17800.0,11189.439453125,2558700
2000-01-19,17400.0,17500.0,16100.0,16100.0,10120.78515625,2608400
2000-01-20,15850.0,16250.0,14950.0,16200.0,10183.6484375,2730900
2000-01-21,15900.0,17400.0,15500.0,16200.0,10183.6484375,2835700
2000-01-24,15800.0,16800.0,15800.0,16000.0,10057.9228515625,2175700
2000-01-25,15700.0,16150.0,15500.0,15500.0,9743.61328125,1751200
2000-01-26,15500.0,16100.0,15300.0,15950.0,10026.4931640625,2038000
2000-01-27,16500.0,17300.0,16200.0,17150.0,10780.8330078125,3341400
2000-01-28,17150.0,17450.0,16500.0,16800.0,10560.8212890625,2096800
2000-01-31,16600.0,17350.0,16400.0,17100.0,10749.4052734375,1725800
2000-02-01,17500.0,17700.0,16700.0,17000.0,10686.5439453125,1815100
2000-02-02,17000.0,18750.0,16700.0,18300.0,11503.7509765625,4041700
2000-02-03,18500.0,18800.0,17650.0,18550.0,11660.904296875,4235500
2000-02-04,18550.0,18550.0,18550.0,18550.0,11660.904296875,0
2000-02-07,18100.0,18750.0,18050.0,18500.0,11629.4736328125,2104800
2000-02-08,18500.0,19050.0,18100.0,18100.0,11378.0244140625,2110200
2000-02-09,18000.0,18250.0,16800.0,17000.0,10686.5439453125,2244100
2000-02-10,16700.0,17200.0,16300.0,16350.0,10277.94140625,3117200
2000-02-11,16400.0,16850.0,15600.0,15650.0,9837.9033203125,2220300
2000-02-14,15200.0,15500.0,14600.0,14650.0,9209.28515625,1836400
2000-02-15,14200.0,14550.0,13750.0,13750.0,8643.52734375,2240500
2000-02-16,14000.0,14300.0,13150.0,14000.0,8800.685546875,2142500
2000-02-17,14400.0,14900.0,14000.0,14500.0,9114.9931640625,3180400
2000-02-18,14300.0,14500.0,13700.0,13700.0,8612.095703125,1959000
2000-02-21,13700.0,13700.0,12350.0,12350.0,7763.45947265625,2101200
2000-02-22,12050.0,12550.0,11650.0,12200.0,7669.16796875,2215000
2000-02-23,12550.0,13900.0,12400.0,13300.0,8360.650390625,2683000
2000-02-24,13200.0,13250.0,12400.0,12500.0,7857.75390625,1340400
2000-02-25,12150.0,13900.0,11850.0,12900.0,8109.19970703125,2855800
2000-02-28,12100.0,12500.0,11800.0,11850.0,7449.14990234375,1612000
2000-02-29,12300.0,12650.0,11850.0,12050.0,7574.87353515625,2117400
2000-03-01,12050.0,12050.0,12050.0,12050.0,7574.87353515625,0
2000-03-02,12550.0,13450.0,12350.0,13200.0,8297.7861328125,3646200
2000-03-03,13200.0,13950.0,12800.0,13500.0,8486.373046875,3028800
2000-03-06,13900.0,15500.0,13550.0,15500.0,9743.61328125,4842600
2000-03-07,15600.0,15750.0,14300.0,15000.0,9429.3046875,4832700
2000-03-08,14150.0,15700.0,14150.0,15000.0,9429.3046875,3426300
2000-03-09,15000.0,15200.0,14050.0,14050.0,8832.115234375,2322800
2000-03-10,14500.0,14600.0,13550.0,13600.0,8549.2333984375,2108500
2000-03-13,13400.0,13400.0,12600.0,12600.0,7920.6123046875,2207100
2000-03-14,12600.0,13150.0,12600.0,12950.0,8140.63134765625,1555300
2000-03-15,12500.0,12850.0,12300.0,12700.0,7983.4775390625,1080200
2000-03-16,13100.0,13700.0,12700.0,13200.0,8297.7861328125,1753600
2000-03-17,14300.0,14300.0,13750.0,13900.0,8737.8193359375,3172100
2000-03-20,13900.0,14300.0,13600.0,14000.0,8800.685546875,1357800
2000-03-21,13900.0,13950.0,13500.0,13700.0,8612.095703125,1003800
2000-03-22,14000.0,14650.0,13800.0,14000.0,8800.685546875,1492800
2000-03-23,14000.0,14200.0,13550.0,13600.0,8549.2333984375,1079100
2000-03-24,13900.0,15000.0,13500.0,14400.0,9052.130859375,2057900
2000-03-27,14000.0,14500.0,13550.0,14400.0,9052.130859375,1983400
2000-03-28,14000.0,14600.0,14000.0,14150.0,8894.9765625,2132000
2000-03-29,14000.0,14400.0,13850.0,14000.0,8800.685546875,2056400
2000-03-30,14000.0,14500.0,13650.0,14000.0,8800.685546875,3234000
2000-03-31,13600.0,13800.0,13300.0,13400.0,8423.51171875,1987600
2000-04-03,13300.0,13950.0,13000.0,13400.0,8423.51171875,1626300
2000-04-04,13700.0,13900.0,13350.0,13900.0,8737.8193359375,1671700
2000-04-05,13900.0,13900.0,13900.0,13900.0,8737.8193359375,0
2000-04-06,13800.0,13800.0,13200.0,13300.0,8360.650390625,1305300
2000-04-07,13300.0,13500.0,12950.0,13300.0,8360.650390625,1466200
2000-04-10,13200.0,14200.0,12850.0,13400.0,8423.51171875,2862800
2000-04-11,13500.0,13600.0,13100.0,13250.0,8329.21875,1159800
2000-04-12,13050.0,13500.0,12950.0,13100.0,8234.9228515625,1273100
2000-04-13,13100.0,13100.0,13100.0,13100.0,8234.9228515625,0
2000-04-14,12600.0,13050.0,12450.0,12750.0,8014.908203125,1546000
2000-04-17,11950.0,12200.0,11300.0,12000.0,7543.44140625,1821600
2000-04-18,12600.0,12800.0,11800.0,12500.0,7857.75390625,1753100
2000-04-19,12500.0,12900.0,12100.0,12450.0,7826.3203125,1909400
2000-04-20,13000.0,13000.0,11950.0,12000.0,7543.44140625,1466100
2000-04-21,11900.0,12500.0,11600.0,12300.0,7732.0283203125,1754600
2000-04-24,11900.0,11950.0,11550.0,11550.0,7260.56298828125,1253600
2000-04-25,11350.0,12450.0,10800.0,11900.0,7480.580078125,4355500
2000-04-26,12100.0,12150.0,10150.0,10150.0,6380.4951171875,5930200
2000-04-27,10100.0,10100.0,8850.0,9400.0,5909.02880859375,6118500
2000-04-28,9680.0,10800.0,9600.0,10450.0,6569.08056640625,5455200
2000-05-01,10450.0,10450.0,10450.0,10450.0,6569.08056640625,0
2000-05-02,10450.0,10750.0,10100.0,10700.0,6726.23681640625,2528700
2000-05-03,10500.0,11100.0,10300.0,10900.0,6851.9599609375,1434700
2000-05-04,11200.0,11700.0,10750.0,10900.0,6851.9599609375,3763100
2000-05-05,10900.0,10900.0,10900.0,10900.0,6851.9599609375,0
2000-05-08,11700.0,11950.0,11450.0,11600.0,7291.99462890625,2088200
2000-05-09,11600.0,11600.0,11600.0,11600.0,7291.99462890625,0
2000-05-10,10900.0,11400.0,10900.0,11400.0,7166.27001953125,1236700
2000-05-11,11400.0,11400.0,11400.0,11400.0,7166.27001953125,0
2000-05-12,11500.0,11500.0,10950.0,11100.0,6977.68408203125,1113600
2000-05-15,11000.0,12000.0,10600.0,12000.0,7543.44140625,1131900
2000-05-16,11500.0,12000.0,11300.0,11700.0,7354.85595703125,936200
2000-05-17,11900.0,12200.0,11650.0,11900.0,7480.580078125,1755800
2000-05-18,11500.0,11700.0,11000.0,11350.0,7134.83837890625,789500
2000-05-19,11350.0,11450.0,10800.0,11100.0,6977.68408203125,820500
2000-05-22,11100.0,11100.0,10650.0,10700.0,6726.23681640625,683200
2000-05-23,10400.0,10700.0,10400.0,10500.0,6600.51220703125,1240000
2000-05-24,10300.0,10800.0,10000.0,10500.0,6600.51220703125,979200
2000-05-25,10650.0,11450.0,10600.0,11100.0,6977.68408203125,15605300
2000-05-26,11000.0,11000.0,9800.0,9800.0,6160.4775390625,1831900
2000-05-29,8520.0,10250.0,8520.0,10000.0,6286.201171875,2080400
