Species,Length,Width
Roach,16.2,2.268
Roach,20.3,2.8217
Roach,21.2,
Roach,,3.1746
Roach,22.2,3.5742
Roach,22.8,3.3516
Roach,23.1,3.3957
,23.7,
Roach,24.7,3.7544
Roach,24.3,3.5478
Roach,25.3,
Roach,25,3.325
Roach,25,3.8
Roach,27.2,3.8352
Roach,26.7,3.6312
Roach,26.8,4.1272
Roach,27.9,3.906
Roach,29.2,4.4968
Roach,30.6,4.7736
Roach,35,5.355
Parkki,16.5,2.3265
Parkki,17.4,
Parkki,19.8,2.673
Parkki,21.3,2.9181
Parkki,22.4,3.2928
Parkki,23.2,3.2944
Parkki,23.2,3.4104
Parkki,24.1,3.1571
,,3.6636
Parkki,28,4.144
Parkki,29,4.234
Perch,8.8,1.408
,14.7,1.9992
Perch,16,2.432
Perch,17.2,2.6316
Perch,18.5,2.9415
Perch,19.2,3.3216
,19.4,3.1234
Perch,20.2,
Perch,20.8,3.0368
Perch,21,2.772
Perch,22.5,3.555
Perch,22.5,3.3075
Perch,22.5,3.6675
Perch,,3.534
Perch,23.5,3.4075
Perch,23.5,3.525
Perch,23.5,3.525
,23.5,3.525
Perch,23.5,3.995
Perch,24,3.624
Perch,24,3.624
Perch,24.2,3.63
Perch,24.5,3.626
Perch,25,3.725
Perch,,3.723
Perch,25.5,3.825
Perch,,4.1658
Perch,26.5,3.6835
,27,4.239
Perch,,4.144
Perch,28.7,5.1373
,28.9,4.335
Perch,28.9,4.335
Perch,28.9,4.5662
Perch,29.4,4.2042
Perch,30.1,4.6354
Perch,31.6,4.7716
Perch,34,6.018
Perch,36.5,6.3875
Perch,37.3,7.7957
Perch,39,
Perch,38.3,6.7408
Perch,,6.2646
,39.3,
Perch,41.4,7.4934
Perch,41.4,6.003
Perch,41.3,7.3514
Perch,42.3,7.1064
Perch,42.5,7.225
Perch,42.4,7.4624
Perch,42.5,6.63
Perch,44.6,6.8684
Perch,45.2,7.2772
Perch,45.5,7.4165
Perch,46,8.142
,46.6,7.5958
